ID,Name,ISO639P3code,Level,Parent_ID
ampa1239,Ampanang,apg,language,bari1287
amri1238,Amri Karbi,ajz,language,karb1240
amto1249,Amto-Musan,,family,
amto1250,Amto,amt,language,amto1249
amun1246,Amundava,adw,language,amon1240
amuz1253,Amuzgo-Mixtecan,,family,east2557
amuz1254,Amuzgoan,,family,amuz1253
anaa1238,Anaang,anw,language,efik1244
anaa1239,Ana,,family,naro1248
anak1240,Anakalangu,akg,language,cent2307
anal1239,Anal,anm,language,oldk1252
anam1247,Anam,pda,language,pomo1272
anam1248,Anamuxra,imi,language,anam1250
anam1249,Anambé,aan,language,araw1290
anam1250,Anamuxric,,family,pomo1272
anat1248,Ana Tinga Dogon,dti,language,yand1256
anat1257,Anatolian,,family,indo1319
anch1239,Anchorite,,family,west2532
anci1242,Ancient Greek,grc,language,east2798
anci1244,Ancient Hebrew,hbo,language,hebr1246
anci1245,Ancient North Arabian,xna,language,arab1394
anci1248,Ancient Ligurian,xlg,language,uncl1493
anda1280,Andaman Creole Hindi,hca,language,hind1270
anda1283,Andai,afd,language,araf1243
anda1284,Andarum,aod,language,tang1354
anda1286,Andaqui,ana,language,
anda1287,Andalusian Arabic,xaa,language,moro1295
ande1247,Andegerebinha,adg,language,aran1263
andi1254,Andic,,family,avar1255
andi1255,Andi,ani,language,andi1254
andi1257,Andio,bzb,language,west2571
ando1255,Andoa,anb,language,arab1396
ando1256,Andoque,ano,language,
andr1248,Andra-Hus,anx,language,east2460
anei1239,Aneityum,aty,language,sout2868
anem1248,Aneme Wake,aby,language,dori1247
anem1249,Anem,anz,language,
anfi1235,Anfillo,myo,language,gong1256
anga1244,Angami-Mao,,family,anga1286
anga1286,Angami-Pochuri,,family,anga1312
anga1287,Angami-Chokri,,family,anga1244
anga1288,Angami Naga,njm,language,anga1287
anga1289,Angan,,family,
anga1290,Angaataha,agm,language,anga1289
anga1291,Sau-Angal-Kewa,,family,kewa1249
anga1292,Angal Heneng,akh,language,anga1314
anga1293,Angal,age,language,anga1314
anga1294,Angal Enen,aoe,language,anga1314
anga1311,Goemaic,,family,west2717
anga1312,Angami-Ao,,family,kuki1245
anga1313,Angal-Kewa,,family,anga1291
anga1314,Angal Mendi,,family,anga1313
anga1316,Angaité,aqt,language,east2852
angg1238,Angkamuthi,avm,language,yadh1238
angg1239,Angguruk Yali,yli,language,yali1257
angi1238,Angika,anp,language,mait1254
angk1246,Angkuic,,family,east2331
angk1248,Angkola-Mandailing,,family,sout2849
angl1239,Archaic Angloromani,rme,language,brit1245
angl1264,Anglo-Frisian,,family,nort3175
angl1265,Anglic,,family,angl1264
ango1254,Angor,agg,language,sena1264
ango1255,Angoram,aog,language,lowe1423
ango1257,Angosturas Tunebo,tnd,language,tune1260
ango1258,Angolar,aoa,language,lowe1440
angu1242,Anguthimri,awg,language,angu1244
angu1243,Anguthimri-Yangathimri-Yuputhimri,,family,alba1272
angu1244,Anguthimri-Yangathimri,,family,angu1243
anii1245,Anii,blo,language,basi1245
anii1246,//Ani,hnh,language,kxoe1242
anil1235,Ani-Labo,,family,phow1235
anim1239,Animere,anf,language,kebu1246
anim1240,Anim,,family,
anin1240,Anindilyakwa,aoi,language,wubu1239
anin1242,Aninka,aqk,language,ninz1247
anip1235,Ani Phowa,ypn,language,anil1235
anja1238,Anjam,boj,language,mind1258
anka1246,Ankave,aak,language,sout3130
anma1239,Anmatyerre,amx,language,aran1263
anor1241,Anor,anj,language,aian1241
anse1238,Anserma,ans,language,unun9901
ansu1237,Ansus,and,language,ansu1238
ansu1238,Ansus-Ambai,,family,cent2277
anta1253,Antakarinya,ant,language,unun9966
anta1255,Antankarana Malagasy,xmv,language,nort3207
anti1245,Antigua and Barbuda Creole English,aig,language,gull1242
anti1247,Antillean Arawakan,,family,cari1281
anua1242,Anuak,anu,language,nort2814
anuf1239,Anufo,cko,language,nort2767
anuk1239,Anuki,aui,language,nort2848
anus1237,Anus,auq,language,anus1238
anus1238,Anus-Podena,,family,sarm1242
anut1237,Anuta,aud,language,nucl1485
anuu1241,Anu-Hkongso,anl,language,mrui1235
anyi1244,Anyin Morofo,mtb,language,anyi1246
anyi1245,Anyin,any,language,anyi1246
anyi1246,Anyinic,,family,nort2767
aohe1237,Aoheng-Seputan,pni,language,mull1247
aoic1235,Central Naga,,family,anga1312
aona1235,Ao Naga,njo,language,aoic1235
aore1237,Aore,aor,language,sout3339
aoua1234,A'ou,aou,language,ahou1236
apac1239,Apachean,,family,atha1247
apal1237,Apalachee,xap,language,alab1247
apal1255,Apalik,apo,language,west2530
apal1256,Apali,ena,language,apal1258
apal1257,Apalaí,apy,language,cari1283
apal1258,Apalic,,family,soge1235
apam1237,AP-AM-AH,,family,cent2141
apas1235,Apasco-Apoala Mixtec,mip,language,nort3198
apat1240,Apatani,apt,language,west2797
apia1248,Apiaká,api,language,kawa1293
apin1244,Apinayé,apn,language,core1264
apma1240,Apma,app,language,sout3188
apma1241,Ap Ma,kbx,language,east2864
apro1235,Aproumu Aizi,ahp,language,unun9902
apuc1241,Apucikwar,apq,language,okol1242
apur1254,Apurinã,apu,language,puru1265
aput1237,Aputai,apx,language,pera1259
aput1239,Aput-Busang-Merah-Kohi,,family,puna1280
arab1266,Arabana-Wangganguru,,family,palk1239
arab1267,Arabana,ard,language,arab1266
arab1268,Arabela,arl,language,arab1396
arab1393,Arabian Peninsula Arabic,,family,arab1395
arab1394,Arabian,,family,cent2236
arab1395,Arabic,,family,arab1394
arab1396,Arabela-Andoa,,family,iqui1244
araf1243,Arafundi,arf,family,
arag1245,Aragonese,arg,language,unsh1234
arak1252,Araki,akr,language,arak1257
arak1255,Arakanese-Marma,,family,nucl1730
arak1257,Araki-Tangoa,,family,sout3339
aral1243,Aralle-Tabulahan,atq,language,mata1312
aram1253,Arammba,stk,language,tond1250
aram1259,Aramaic,,family,nort3165
aran1237,Dombano,jbj,language,kemb1251
aran1261,Aranadan,aaf,language,mala1541
aran1263,Aranda,,family,aran1267
aran1265,Aranama,xrt,language,uncl1493
aran1266,Arandic-Thura-Yura,,family,pama1250
aran1267,Arandic,,family,aran1266
arao1247,Araona-Toromono,,family,taka1268
arao1248,Araona,aro,language,arao1247
arap1273,Arapahoic,,family,algo1257
arap1274,Arapaho,arp,language,arap1280
arap1275,Arapaso,arj,language,wana1272
arap1279,Arapesh,,family,komb1276
arap1280,Arapaho-Gros Ventre-Besawunena,,family,arap1273
arau1255,Araucanian,,family,
araw1269,Arawe-Pasismanua,,family,sout2874
araw1272,Arawum,awm,language,kabe1245
araw1273,Araweté,awt,language,araw1290
araw1276,Lokono,arw,language,iner1234
araw1281,Arawakan,,family,
araw1282,Arawan,,family,
araw1283,Arawe,,family,araw1269
araw1288,Arawakan (Unattested),,family,unat1236
araw1289,Arawan (Unattested),,family,unat1236
araw1290,Arawetic,,family,subg1264
arbe1236,Arbëreshë Albanian,aae,language,alba1268
arbo1245,Arbore,arv,language,west2723
arch1244,Archi,aqc,language,lezg1248
area1240,'Are'are,alu,language,sout3198
areb1238,Areba,aea,language,ribg1235
ared1234,Are-Doga,,family,arei1235
aree1239,Are,mwc,language,ared1234
arei1235,Are linkage,,family,aret1241
arem1240,Arem,aem,language,chut1246
areq1237,Arequipa-La Unión Quechua,qxu,language,ayac1238
aret1241,Are-Taupota linkage,,family,nort2848
argo1244,Argobba,agj,language,amha1244
argu1237,Arguni,agf,language,bomb1263
arha1237,Arhâ,aqr,language,houa1234
arho1237,Arhö,aok,language,houa1234
arhu1241,Arhuacic,,family,nort3000
arhu1242,Arhuaco,arh,language,east2571
arib1240,Aribwaung,ylu,language,busu1245
arib1241,Aribwatsa,laz,language,busu1245
arif1239,Arifama-Miniafia,aai,language,arei1235
arig1246,Arigidi,aqg,language,defo1239
arii1243,Ari,aac,language,ariw1234
arik1262,Arikara,ari,language,pawn1253
arik1263,Arikemic,,family,tupi1275
arik1264,Arikem,ait,language,arik1263
arik1265,Arikapú,ark,language,jabu1249
arin1242,Arin-Pumpokol,,family,sout2751
arin1243,Arin,xrn,language,arin1242
arin1244,Aringa,luc,language,cent2043
arit1239,Aritinngitigh,dth,language,nort2758
ariw1234,Ari-Waruna,,family,gogo1264
arma1244,Arma,aoh,language,choc1284
arme1241,Armenic,,family,clas1257
arom1237,Aromanian,rup,language,east2714
arop1242,Arop-Sissano,aps,language,siss1245
arop1243,Arop-Lokep,apr,language,kora1297
aros1241,Arosi,aia,language,sanc1243
arta1239,Arta,atz,language,nort3238
arti1236,Artificial Language,,family,
arua1260,Aruamu,msy,language,mika1254
arua1261,Aruá (Rondonia State),arx,language,gavi1248
arua1263,Aruá (Amazonas State),aru,language,araw1282
arue1240,Aruek,aur,language,unun9968
aruo1240,Srenge,lsr,language,brag1241
arut1244,Arutani,atx,language,
aruu1241,Aru,,family,cent2245
arva1236,Arvanitika Albanian,aat,language,alba1268
asar1240,Asaro'o,mtv,language,mole1240
asha1241,Asha-Ashe-Kak,,family,asha1244
asha1242,Ashe-Asha,,family,asha1241
asha1243,Asháninka,cni,language,asha1242
asha1244,Asha-Ashe-Kak-Matsi-Nan,,family,prea1240
ashe1269,Ashe,ahs,language,koro1301
ashe1271,Ashe-Asha Norte,,family,asha1242
ashe1272,Ashéninka Perené,prq,language,ashe1271
ashe1273,Ashéninka Pajonal,cjo,language,ashe1274
ashe1274,Asheninka,,family,asha1242
ashk1246,Ashkun,ask,language,sout3243
asho1236,Asho Chin,csh,language,asho1237
asho1237,Ashoic,,family,sout3160
asht1244,Ashtiani,atn,language,vafs1241
asil1242,Asilulu,asl,language,west2843
asko1238,Askopan,eiv,language,roto1248
asli1243,Aslian,,family,aust1305
